section,kategoriId,code,name,hex,rgb,sourceFile
Dış Cephe,,4961/CD-8250,Kuru Çiçek,#f1eee0,"241, 238, 224",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4840/CD-8110,Köpük Beyazı,#e3d8c0,"227, 216, 192",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4842/CD-8112,Çöl Kumu,#dbbf95,"219, 191, 149",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4843/CD-8113,Başak Tarlası,#c9ab85,"201, 171, 133",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4849/CD-8119,Safran,#c29064,"194, 144, 100",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5032/CD-8095,Kar Beyazı,#dfcfc0,"223, 207, 192",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4827/CD-8096,Açık Şampanya,#e5cbb7,"229, 203, 183",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4828/CD-8097,Açık Somon,#cfa891,"207, 168, 145",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4829/CD-8098,Çöl Çiçeği,#ba846e,"186, 132, 110",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4770/CD-8023,Kiremit Kırmızısı,#8f5950,"143, 89, 80",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4811/CD-8073,Kemik,#ddcabe,"221, 202, 190",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5061/CD-8064,Maldivler Pembesi,#c5b0a9,"197, 176, 169",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4786/CD-8041,Güz Akşamı,#b0938b,"176, 147, 139",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4753/CD-8003,Kızıl Gezegen,#986561,"152, 101, 97",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,741/CD-8004,Lal,#764646,"118, 70, 70",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4766/CD-8019,Pembe Pudra,#dbcbc4,"219, 203, 196",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4804/CD-8065,Ilgaz Kızılı,#a59592,"165, 149, 146",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4805/CD-8066,Erciyes,#826f6c,"130, 111, 108",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5060/CD-8067,Kenya Kahvesi,#705856,"112, 88, 86",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5175/CD-8011,Olympos,#624444,"98, 68, 68",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5133/CD-8217,Sis Beyazı,#cbc3bd,"203, 195, 189",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5083/CD-8081,Ürgüp,#a39487,"163, 148, 135",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5176/CD-8076,Tibet,#92857f,"146, 133, 127",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4815/CD-8078,Nemrut Kahvesi,#7b655c,"123, 101, 92",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5177/CD-8060,Bitter,#5a4a45,"90, 74, 69",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5082/CD-8080,Fildişi Sahili,#cabaad,"202, 186, 173",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,022/CD-8085,Çöl Beyazı,#c8b6a8,"200, 182, 168",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5076/CD-8057,Patara,#c8b3a3,"200, 179, 163",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,035/CD-8058,Kum,#b39887,"179, 152, 135",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,730/CD-8061,Çikolata,#775b51,"119, 91, 81",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4879/CD-8150,Kanvas,#c7bfb0,"199, 191, 176",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4880/CD-8151,Meyan Kökü,#bdb19d,"189, 177, 157",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4876/CD-8147,Orman Sisi,#998b79,"153, 139, 121",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4877/CD-8148,Dağ Kekiği,#887a6b,"136, 122, 107",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4878/CD-8149,Abanoz,#665b50,"102, 91, 80",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,5137/CD-8213,Bahama Beyazı,#d5d2ca,"213, 210, 202",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4905/CD-8178,Ihlamur Yaprağı,#afa99e,"175, 169, 158",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4906/CD-8179,Soğuk Vizon,#a19990,"161, 153, 144",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4908/CD-8181,Ankara Kalesi,#837d74,"131, 125, 116",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4909/CD-8182,Fırtına Sisi,#6c675f,"108, 103, 95",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4893/CD-8166,Sümela Manastırı,#c5c2b9,"197, 194, 185",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4913/CD-8186,Süet Gri,#a7a49d,"167, 164, 157",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4912/CD-8185,Buzul Sis,#a5a59f,"165, 165, 159",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4915/CD-8188,Kaplumbağa Kabuğu,#80817b,"128, 129, 123",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4916/CD-8189,Okyanus Dalgası,#545552,"84, 85, 82",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4956/CD-8245,Atlantis İncisi,#d7d8d8,"215, 216, 216",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4957/CD-8246,Deniz Buğusu,#bcbec0,"188, 190, 192",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4958/CD-8247,Kış Akşamı,#9e9fa0,"158, 159, 160",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4959/CD-8248,Zigana Sisi,#8c8d8f,"140, 141, 143",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4960/CD-8249,Akşam Sisi,#595b5c,"89, 91, 92",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4941/CD-8219,Taş Grisi,#cbcbc8,"203, 203, 200",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
